,Document,tokenizedDocument,dm1,dm2,dm3,dm4,dm5,dm6,dm7,dm8,dm9,dm10,dm11,dm12,dm13,dm14,dm15,dm16,dm17,dm18,dm19,dm20,dm21,dm22,dm23,dm24,dm25,dm26,dm27,dm28,dm29,dm30,dm31,dm32,dm33,dm34,dm35,dm36,dm37,dm38,dm39,dm40,dm41,dm42,dm43,dm44,dm45,dm46,dm47,dm48,dm49,dm50,dm51,dm52,dm53,dm54,dm55,dm56,dm57,dm58,dm59,dm60,dm61,dm62,dm63,dm64,dm65,dm66,dm67,dm68,dm69,dm70,dm71,dm72,dm73,dm74,dm75,dm76,dm77,dm78,dm79,dm80,dm81,dm82,dm83,dm84,dm85,dm86,dm87,dm88,dm89,dm90,dm91,dm92,dm93,dm94,dm95,dm96,dm97,dm98,dm99,dm100
0, 운영체제 서비스 (Operating System Services),운영체제 서비스,0.7144553,-0.5313845,2.488015,-0.7706298,0.11228647,0.7746713,2.0708873,1.770209,-2.3533063,1.7830386,-1.525446,-1.176581,-1.1070372,0.44260556,1.7146304,-0.19959041,-1.9182608,-0.14960429,-0.49933022,-1.9805638,1.3374763,-0.6051095,-2.2651916,-0.5147605,-2.9333458,0.23569347,-0.04063573,0.6941035,2.706785,0.60696274,2.6487665,-1.0948229,-1.0739363,0.7987409,-0.46065035,0.28503728,0.84599024,0.16353564,-0.46185294,2.0185575,-0.1153227,2.6184027,-1.0724115,1.0974252,0.5764884,0.26243845,0.5075819,0.6652579,-0.7358262,-0.65446734,0.8239617,-0.36696377,0.5111325,0.25596714,0.5472922,0.12741566,-0.0030717852,1.0724423,0.23430967,0.57476616,-1.4040813,0.67814815,-1.3962519,0.18555707,1.1289698,1.1733673,-0.40400437,-0.44293356,0.5354678,-1.6845791,-0.27126333,0.6846023,1.1398706,0.5325194,-0.15539059,-0.5305387,0.16356805,0.22253992,-0.023574876,-0.75901335,3.3126702,0.64117247,0.83915615,-1.7073199,-0.7089895,-1.3229736,-1.2720673,-1.332241,0.94587266,0.5575587,-0.6103534,-1.0743972,-0.7082043,-0.60694045,-1.2459991,1.0370419,0.39595068,0.47592604,0.37175876,-1.622231
1, 운영체제 사용자 인터페이스 (User Operating System Interface),운영체제 사용자 인터페이스,1.373194,-2.2685413,2.0412273,-1.548548,0.20281132,0.2510743,0.36727244,1.6727973,-2.4676883,1.6289291,-0.9569437,-0.3943457,-1.0000265,0.5420646,1.301368,-1.3168491,-1.3831574,0.52986616,2.3481576,-1.9037347,0.6571129,0.62346953,-0.2133806,-0.3793285,-1.8218185,-0.5955613,0.21082872,-0.05639538,3.0517561,-1.0818151,2.9811902,-1.4299282,-1.9315729,1.125816,0.8912854,0.7684896,0.1623253,0.4437728,-0.15605596,2.5504568,0.9026531,0.6183784,-0.8515635,-0.5490592,0.45678324,0.29731873,-1.6640718,-1.2074536,-0.7775698,-0.41553336,-0.60501873,0.25048953,0.71400857,-0.32889447,-2.3126373,-0.5068185,-0.6313054,0.70686805,-0.51703626,0.10067715,-0.8706392,0.99594206,-1.2458631,-0.42812356,-0.4692934,1.5441605,-1.2967484,0.91472965,0.37160102,-2.2684784,0.24471912,1.2543172,1.5162061,-0.28957668,1.7472291,0.52569586,-1.3349458,-0.3110001,0.85908955,-0.6924877,2.015035,1.4693696,-0.13545506,-2.1967938,-1.5088246,-2.8528192,-1.78471,-1.6388314,2.1086247,0.015040636,-0.6369074,-0.8515413,-2.17704,-1.3778875,0.2823068,1.7058363,1.317941,1.302224,-1.1826937,-0.18952745
2, 시스템 콜 (System Calls),시스템 콜,0.011394288,-0.8268746,2.973761,-0.36631346,-0.83904624,0.78923064,0.9612133,1.6848024,-3.6086812,0.7545663,0.4217847,-1.3134944,-2.5858254,2.4434254,0.97796386,-1.069218,-1.7550746,-0.8285198,1.1900501,-1.0267351,2.7872102,-1.9818361,0.11841452,0.40791366,-1.7368355,-0.28888488,-0.22909234,0.5994905,2.2676032,-0.15757157,1.1985898,-0.5632966,0.060153067,0.25787115,-0.37315536,3.3127308,-0.9679287,-0.110783875,-0.7160108,1.4758805,1.1341976,0.87354696,-0.46079874,2.1527896,2.1311514,-1.4665186,-0.28330797,-1.0523281,0.2829505,1.6390507,-2.2825994,1.4462218,1.8466954,-1.2861543,-0.994466,1.8613597,-0.42438024,1.6475381,-0.4610231,-0.18235105,-0.6551186,1.4839855,-3.7201853,-0.004753977,1.8923355,1.6919718,0.058706313,0.80484647,-0.34452596,-0.69559395,-0.25013843,-0.14807379,0.55841357,1.3000598,-0.12564468,-0.8357707,-0.5299028,0.0957863,-0.4086006,0.42692733,1.2892623,1.028794,-0.3350228,-2.4093516,-0.47343555,-0.4608487,-2.376626,-1.08273,-0.5913137,-0.3169747,-0.59538406,0.17809868,1.1417108,-1.2042896,-0.019782364,0.5445126,2.6116953,1.1832342,-0.10937613,-0.17039877
3, 시스템 콜 유형 (Types of System Calls),시스템 콜 유형,-0.3148971,-1.8085641,2.9017746,-0.10267708,-0.38024187,0.6833223,0.86064893,1.9007988,-3.3955457,0.8773283,1.1155457,0.069761336,-1.7932891,1.4954246,1.2574806,-0.5840388,-1.5468205,-0.461738,0.9807189,-0.5460357,0.8778755,-1.5266092,0.16907603,-0.5654173,-1.2451619,-0.20089379,0.1579634,-0.41413814,1.6907666,-0.5400912,2.3395877,-0.09919503,-0.7120309,1.3084419,0.3890792,3.204485,-1.3681216,-0.15291923,-0.08258453,0.7826314,1.6606736,0.5422566,0.41766977,1.7006649,1.1824507,-0.34199685,-1.0698674,-0.7723048,0.45620233,0.6375148,-2.245319,1.0734026,1.1655506,-1.0659182,-1.0444405,0.51428056,-0.64550173,1.5255235,-0.52512413,0.7930135,-1.9402986,1.3330743,-2.9452457,-0.9018522,1.9215739,2.2528043,0.6136248,1.0737183,-0.26380503,-1.1335368,-0.09910675,1.1425855,0.970668,0.7723177,-0.11447198,-0.7166853,-0.28016874,0.87785214,-1.2618384,0.7551516,0.9736706,1.4160882,0.36731172,-1.6927122,-0.6969614,-1.1813983,-1.4130604,-1.6450396,-0.44413736,-0.8727648,0.15347487,0.07303719,1.1365983,-1.0010384,0.10151655,0.99697495,2.2938035,1.1010854,-0.8274269,0.046567783
4, 시스템 프로그램 (System Programs),시스템 프로그램,0.5977971,-4.1196337,4.0713863,-0.77879834,-0.8308324,0.94762397,2.868076,3.423932,-5.1394415,0.8257642,-0.121070206,-0.6869854,-3.4226987,2.926785,1.2916572,0.7343468,-4.7906976,0.30262828,2.8574858,-1.3060814,2.4078693,-2.2724314,-0.2986799,-0.040706765,-2.76487,-2.8713937,-0.8960412,1.1432366,1.6017363,-0.47726023,2.3792298,-2.243005,-1.0909117,3.4184833,-0.48476183,2.2127345,-1.7469332,-1.3230073,-2.0149271,3.7567558,0.7892027,1.8704231,-0.5620941,2.9995785,0.47294712,-1.1590158,-0.47859803,0.5671468,-1.209927,0.30955094,-1.2993035,0.73964685,-0.34045994,-0.6986073,-2.4201806,-0.25379276,-0.7088853,1.478443,0.78219825,1.6704185,-2.1529057,1.1009908,-3.772688,-1.0661789,3.6175427,2.6103327,0.88951063,1.6759,1.0804185,-2.5485773,-1.4043275,1.554405,-0.029888198,2.1363137,-1.7621554,-2.3864374,-0.6706055,0.62798584,-1.7714669,-0.012550533,1.6986811,3.3227077,0.23513925,-3.4630566,-1.0276592,-1.3417192,-1.9239118,-1.2233579,1.9544818,-1.8868873,1.8206334,-0.1964097,-0.28252217,-2.117036,1.1653444,1.0742178,3.2737315,1.0624821,0.58440995,-1.6407065
5, 운영체제 설계 및 구현 (Operating System Design and Implementation),운영체제 설계 및 구현,0.3101486,-1.4299619,3.2218208,-0.013305426,-1.8597348,0.67313,0.20363504,0.7196707,-1.4893355,0.56709296,-0.35454947,-0.28271762,-0.5388042,1.2417743,0.4453438,-1.2151917,-2.185488,-0.97767216,1.555826,-0.5541443,0.32163242,-1.546451,-1.1128973,-0.5722247,-1.2743402,-1.3210166,-0.28593242,0.80800617,0.03594525,-0.07768494,2.5605145,1.5426056,-1.6351732,0.50318086,1.5016856,2.130362,1.6788096,-0.16717756,0.15152359,0.28957295,2.0089946,1.1502285,1.4820886,1.4465892,1.594708,-0.051395763,0.11231247,0.7844468,-0.84659255,0.5081368,0.08601431,-0.7238537,-0.8076817,0.501753,-1.5880895,0.07876578,-1.5595325,1.1715184,0.49634212,1.3421203,-0.91747534,1.0221237,-1.316164,-0.83143187,1.0191106,0.51288694,-0.6138246,1.2985032,0.8372351,-0.16998008,0.6293773,1.3626653,1.3430314,0.79089713,-1.2142047,0.78940725,-0.002703026,0.98627484,0.65163296,0.7272569,2.1324356,-0.011987507,0.91212064,-2.2659662,-0.91328025,-2.5164552,-0.21081948,-0.44543448,2.4649467,-0.5364529,-0.053304285,1.3939316,0.78682303,-0.78804994,0.42196667,-2.1275997,1.121839,0.16791686,-1.4787672,-0.8719864
6, 운영체제 구조 (Operating System Structure),운영체제 구조,-0.24554512,-2.3507311,0.29526243,-0.32379723,-0.27703846,-0.15947537,-0.89542896,1.1395224,-1.0046995,-0.0026603537,-0.002819174,0.17959797,0.7519067,-0.08248169,0.7311573,0.30203617,-1.3169352,-0.08446357,1.0513092,-1.2001709,-0.5883244,-1.3984182,-0.8886186,0.56264,-0.50797975,0.032846108,0.6327921,0.13627158,0.5341135,-0.7810555,3.165786,2.2693424,-0.43273702,1.6240306,1.6469659,0.47919083,-0.65485954,-0.37331405,1.9659035,-0.531077,2.3304615,2.5384524,2.4629235,0.20289274,0.3462075,-0.65942556,-0.39722148,-1.2799338,-0.6870285,-0.19493976,-0.34163952,0.7130474,-0.70145357,0.5056085,-1.2492636,0.5551812,-0.35965005,0.91785586,-0.56856364,0.94210476,-2.141575,1.9881383,-0.41167194,-0.55737513,0.031454314,0.41789663,0.6754442,0.8003408,0.4829713,-0.657042,-1.4970657,1.2936698,1.3202896,1.1652929,-1.1198772,1.4203433,0.14146608,0.44582355,0.6523964,1.2558244,2.7223222,0.45766628,0.79989237,-0.40845853,-1.7689836,-1.4158787,0.85780436,-1.6834636,0.8591366,-0.6832769,1.5384154,-0.30816248,0.4678641,-0.54752505,-0.17575045,-0.3923335,1.1076057,1.3930594,-0.80927426,1.0712315
7, 운영체제 디버깅 (Operating System Debugging),운영체제 디버깅,0.025645204,0.034059428,1.0384105,-0.65775484,-0.1901322,-0.018627502,0.22362648,0.41085726,-0.6906741,-0.191601,0.10161339,-0.09506082,0.073033,0.3204016,0.39818016,-0.051448867,-0.46345946,-0.18690625,0.19904248,-0.47446743,0.30823022,0.19968821,0.2329801,-0.08912755,-0.18375035,-0.2862587,-0.1749707,0.36875185,0.11576325,0.061765198,0.26918426,-0.10435487,-0.12208766,0.36977902,0.31521994,0.51559407,0.7259031,0.36928442,-0.15475495,1.0198219,0.23430179,0.22119956,0.1006216,0.100227185,0.4166857,0.19195509,-0.5785204,-0.31867364,0.16859223,0.0057250154,-0.5832222,-0.01722519,-0.08198255,-0.6920791,-0.7449959,0.058969524,-0.5204563,0.56534696,0.098234,0.1628448,0.1622199,0.11999383,-0.4611259,-0.17184451,-0.011958272,0.3697964,-0.15251814,0.26862732,-0.11204504,-0.58623946,-0.18191577,0.043725967,0.21714577,0.30982786,0.24587786,-0.16134864,-0.24637799,-0.071260154,0.29773712,-0.026770782,0.4286941,0.23765913,-0.3195763,-0.9546403,-0.26717985,-0.7246496,-0.83371085,-0.15327916,0.8353789,0.027192142,-0.12207523,-0.28090802,-0.1439813,-0.7370904,0.13673793,-0.07373047,0.30406475,0.00042226104,-0.28525645,-0.3225256
8, 운영체제 생성 (Operating System Generation),운영체제 생,-1.079252,0.51812696,-0.37820846,0.8611598,-0.1067851,1.4545064,0.1635985,0.67782694,0.015469577,0.41570127,-0.06385755,-0.5703723,-0.6321746,0.7473555,-0.08170187,1.2435825,-1.887054,0.76792324,-1.3501829,-0.35667104,-2.1369703,-1.7954398,0.36984488,-0.61434394,-0.7441218,-1.2813435,-0.13159066,1.6801121,0.108534366,-0.4991265,-1.191166,-1.0099652,-1.8562491,-0.55703515,1.1349801,0.69863874,-0.8082634,0.4059689,-0.73144156,-0.49453348,-0.29106766,-0.47869226,0.9798887,0.3687014,0.42551243,0.2228048,-0.39074233,-0.109047145,-1.3745828,-0.42207775,0.01060343,0.32392874,-1.4678025,-0.102338076,-0.591735,0.07661318,0.47420982,-0.59654,0.8962631,0.004142599,-0.22697939,0.64825714,0.60362077,-1.4007525,1.878189,1.2598546,0.42457616,-1.2172095,-0.9126782,1.1342798,0.3045244,0.07831007,-0.4594006,0.9773535,0.19747026,-0.8538294,-1.292576,0.1387957,-1.0424521,0.821632,-1.7912087,1.5281076,-0.84484446,-0.14145511,0.6376335,-0.47500673,1.1918781,-0.0025829633,-2.0293393,1.0305233,1.1087618,-2.0918312,-0.24720103,0.704752,-0.590364,-1.6904707,0.88993245,-1.1178392,1.4487582,-0.67769957
9, 시스템 부팅 (System Boot) ,시스템 부팅,-0.36733204,-2.7188497,4.4635167,-0.86091906,-0.57458884,0.29034108,1.1465098,1.8554902,-3.9747934,-0.035984382,0.44503948,-0.669738,-2.2287636,2.0331383,0.834806,-1.2118505,-2.6386125,-0.25756198,1.982442,-1.234998,2.0113645,-0.4661383,-1.0730437,-0.25425833,-1.8459182,-1.633883,-0.52647436,0.45523918,1.1157736,0.2572432,2.4184344,-0.40029165,-0.88570976,1.9981343,1.1719577,2.5198567,0.47751004,-0.0979656,-0.41663557,2.4945936,0.26981646,1.7209613,0.75280756,1.8236182,1.0856956,-0.91904867,-1.9408752,-0.77726847,0.12480512,0.01736644,-1.1778437,0.8323487,0.35847464,-1.5602654,-1.7269262,0.13464394,-0.99144274,1.8577926,0.053245768,1.1957058,-0.69193554,1.5439076,-3.2808385,-0.9374318,1.6961864,1.889063,-0.10901022,0.5104131,-0.043216825,-2.6482034,-0.07584649,1.6257285,-0.13390528,0.8453365,-0.21066788,-0.12077145,-0.10381608,0.14652757,0.7509925,0.75936687,2.5681367,1.2302765,0.28193116,-3.0919483,-0.06536429,-0.71269274,-1.9120005,-0.7423144,2.1580687,-1.0972753,0.51554805,1.2026892,-0.07155675,-1.4712785,0.48610878,0.2575804,2.8414557,0.67818105,0.2811034,-1.1124281
